German,English
am,at the (dat masc/neut)
des,of the (gen masc/neut)
einfach,simple/simply
leben,to live/life
hatte,had
zeit,time
weil,because
willst,want (you singular)
kommen,to come
dein,your (masc/neut)
heute,today
kommt,comes
wollen,to want
damit,with that/so that
ganz,whole/quite
wäre,would be/were
wollte,wanted to
weißt,know (you singular)
ok,ok
sicher,sure/safe/certain
gesagt,said (past participle)
frau,woman/wife/Mrs.
nun,now/well
bis,until/to
wurde,became/was (passive aux)
leid,sorrow/pity
na,well/come on
macht,makes/power
dieser,this/that (masc)
zurück,back
lassen,to let/to leave
hallo,hello
meinen,to mean/my (masc acc)
gott,God
seine,his/its (fem/pl)
hätte,would have/had
zwei,two
könnte,could
genau,exactly
waren,were
zur,to the (dat fem)
lass,let (imperative)
klar,clear/clearly
morgen,tomorrow/morning
leute,people
vater,father
schön,beautiful/nice
glaube,believe/faith
mr.,Mr.
ab,from/off
gerade,just/straight
tag,day
gesehen,seen
reden,to talk/to speak
wohl,probably/well
liebe,love/dear (fem)
sollte,should
sagte,said
unsere,our (fem/pl)
jemand,someone
geld,money
durch,through
ob,whether/if
keinen,no/none (masc acc)
mutter,mother
raus,out (informal)
gemacht,made/done
paar,pair/few
mach,make/do (imperative)
passiert,happened
dachte,thought
besser,better
musst,must (you singular)
wieso,why/how so
sir,sir
dieses,this/that (neut gen/dat/acc)
selbst,self/even
gehört,heard/belongs to
möchte,would like to
ohne,without
hör,hear/listen (imperative)
her,here/hither
sag,say (imperative)
meiner,mine/of me (masc)
anderen,others
helfen,to help
nacht,night
finden,to find
diesen,this/that (masc acc)
gute,good (fem/pl)
wirst,will (you singular)
lange,long
natürlich,naturally/of course
ach,oh/alas
meinem,my (dat masc/neut)
gar,at all
ins,into the
sei,be (subjunctive/imperative)
dort,there
weiter,further/continue
geben,to give
seit,since
gleich,same/immediately
sagt,says
recht,right/law
ihren,their (dat/acc pl)
richtig,right/correctly
ordnung,order/tidiness
vom,from the
hören,to hear
sieht,sees
davon,of it/from it
dafür,for it
geh,go (imperative)
diesem,this/that (dat masc/neut)
wegen,because of
hause,house/home
sollten,should/were supposed to
mädchen,girl
hin,to/there
sollen,should/to be supposed to
abend,evening
haus,house
denke,think/am thinking
viele,many
drei,three
deinen,your (masc acc)
freund,friend
guten,good (masc acc)
unser,our (masc/neut)
warte,wait (imperative)
machst,make/do (you singular)
menschen,people/humans
essen,to eat/food
angst,fear/anxiety
bleiben,to stay/to remain
zusammen,together
welt,world
unter,under/among
habt,have (you plural)
schnell,fast/quickly
andere,other
tot,dead
getan,done (past participle)
darf,may/is allowed to
erst,first/only
rein,in/pure
stimmt,is correct/agrees
nehmen,to take
kinder,children
eines,a/an/one (gen neut)
glauben,to believe
bringen,to bring
ganze,whole/entire
genug,enough
scheiße,shit/crap
brauchen,to need
gegen,against
moment,moment
junge,boy
steht,stands/is situated
sonst,otherwise/or else
musik,music
arbeit,work
seid,are (you plural)
ihrer,her/their (gen/dat fem)
fragen,to ask/questions
herr,Mr./Lord
dabei,present/thereby
heißt,is called/means
familie,family
warten,to wait
niemand,nobody
sofort,immediately
bevor,before
jahre,years
einmal,once/one time
problem,problem
sohn,son
wann,when
brauche,need/am needing
fertig,finished/ready
halt,stop/hold
allein,alone
sprechen,to speak
beide,both
gefunden,found
hatten,had (pl)
sache,thing/matter
hilfe,help
verdammt,damned/damn
ne,right? (short for 'nicht wahr')
jeder,every/each
warst,were (you singular)
gern,gladly/like to
konnte,could/was able to
darüber,about that/over it
halten,to hold/to keep
siehst,see (you singular)
verstehe,understand/am understanding
jahren,years (dative)
kam,came
kind,child
wusste,knew
wahr,true
seinen,his/its (masc acc)
dazu,to that/in addition
bruder,brother
daran,on it/about it
ihrem,her/their/Your (dat masc/neut)
denken,to think
könnten,could (pl)
dank,thanks
würden,would (pl)
lieber,rather/dearer
fall,case/fall
deiner,yours (masc)
sehe,see/am seeing
egal,no matter/irrelevant
kennen,to know (a person/place)
deinem,your (dat masc/neut)
vergessen,to forget
frage,question/ask
mache,make/do/am making
komme,come/am coming
sage,say/am saying
mag,like/may
sieh,see (imperative)
echt,real/really
gib,give (imperative)
eigentlich,actually/properly
jeden,every (masc acc)
dad,dad
gab,gave/there was
uhr,clock/o'clock
stadt,city
männer,men
baby,baby
fahren,to drive/to go
namen,name (pl)
bekommen,to get/to receive
kopf,head
hi,hi
gehe,go/am going
kleine,small/little (fem/pl)
später,later
glück,luck/happiness
letzte,last/final (fem/pl)
freunde,friends
n,n (abbreviation)
all,all
darauf,thereupon/on it
ende,end
dr.,Dr.
bald,soon
töten,to kill
dinge,things
meinst,mean/think (you singular)
toll,great/awesome
eins,one
minuten,minutes
vielen,many (dative/genitive)
bereit,ready
weit,far/wide
ahnung,idea/clue
seiner,his/its (gen/dat fem)
bisschen,a little bit
tür,door
auto,car
jungs,boys/guys
eure,"your (pl, fem/pl)"
augen,eyes
polizei,police
stehen,to stand
sterben,to die
hätten,would have/had (pl)
draußen,outside
kenne,know/am knowing
fast,almost
runter,down (informal)
vorbei,past/over
treffen,to meet/to hit
gerne,gladly/like to
dran,on it (informal)
wurden,became/were (passive aux)
arbeiten,to work
mom,mom
verrückt,crazy/mad
neue,new (fem/pl)
ging,went
hinter,behind
sorgen,worries/to worry
einzige,only/sole (fem/pl)
jemanden,someone (accusative)
darum,around it/therefore
tochter,daughter
braucht,needs
idee,idea
schwester,sister
drin,inside (informal)
ruhig,calm/quiet
sah,saw
ganzen,whole/entire (dat/acc masc)
spät,late
ziemlich,quite/pretty
solltest,should (you singular)
name,name
sogar,even
kurz,short/brief
kerl,guy/fellow
frauen,women/wives
liegt,lies/is situated
suchen,to search/to look for
finde,find/am finding
je,ever/each
woher,from where
lang,long
job,job
keiner,no one/none (masc)
seinem,his/its (dat masc/neut)
hört,hears
verstehen,to understand
spielen,to play
s.,s. (abbreviation)
überhaupt,at all
teufel,devil
verstanden,understood
verloren,lost
große,big/large (fem/pl)
hand,hand
grund,reason/ground
jahr,year
kommst,come (you singular)
mama,mama/mom
ruhe,rest/peace/quiet
gewesen,been
tod,death
stunden,hours
hoffe,hope/am hoping
denkst,think (you singular)
oben,above/upstairs
gestern,yesterday
versuchen,to try
art,kind/type
letzten,last/final (pl)
schatz,treasure/darling
he,he (interjection)
nimm,take (imperative)
etwa,about/for example
erzählt,told
läuft,runs/is going (well)
schwer,heavy/difficult
anders,different/otherwise
miss,Miss/mistake
musste,had to
fünf,five
wasser,water
lässt,lets/leaves (he/she/it)
erste,first (fem/pl)
versucht,tried
gekommen,come/arrived
geschichte,story/history
wenig,little/few
holen,to get/to fetch
bedeutet,means
nett,nice
wahrheit,truth
woche,week
bringt,brings
deshalb,therefore
welche,which
bestimmt,certainly/definitely
hoch,high/up
alter,age/old man
sagst,say (you singular)
schau,look/watch (imperative)
ah,ah
land,country/land
zimmer,room
wagen,car/to dare
vier,four
gefallen,fallen/pleased
spaß,fun
niemals,never
schuld,guilt/fault
getötet,killed
wollten,wanted to (pl)
verlassen,to leave/to abandon
zeigen,to show
beste,best (fem/pl)
ernst,serious/seriousness
unserer,our (masc/neut gen)
denen,those (dative)
ort,place/location
bleibt,stays/remains
würdest,would (you singular)
manchmal,sometimes
glaubst,believe (you singular)
seite,side/page
lasst,let (plural imperative)
zwischen,between/among
eben,just/flat
während,during
spiel,game/play (imperative)
nehme,take/am taking
ersten,first (pl)
guter,good (masc)
chance,chance
freundin,girlfriend
krieg,war
gefällt,is pleasing/likes
kleinen,small/little (dat/acc pl)
erzählen,to tell/to narrate
anderes,other (neut)
tage,days
entschuldigen,to excuse/to apologize
wichtig,important
gehst,go (you singular)
allen,all (dative)
bett,bed
mrs.,Mrs.
sachen,things/stuff
the,the (English word)
schlecht,bad
schule,school
entschuldigung,apology/excuse me
wort,word
john,John
hättest,would have/had (you singular)
wären,would be/were (pl)
typ,guy/type
schlafen,to sleep
äh,uh/er
tu,do (imperative)
euer,"your (pl, masc/neut)"
captain,captain
gesicht,face
falls,in case
neuen,new (dat/acc pl)
bloß,only/just
unten,down/below/downstairs
teil,part
beiden,both (pl)
mensch,human/person
kleiner,smaller/little (masc)
stellen,to put/to place
oft,often
sorge,worry/care
gedacht,thought (past participle)
tust,do (you singular)
trinken,to drink
einige,some/several
dies,this (neut)
ding,thing
unseren,our (dat/acc pl)
kriegen,to get/to receive
blut,blood
ehrlich,honest/honestly
eltern,parents
scheint,seems/shines
herz,heart
jack,Jack
glücklich,happy
alte,old (fem/pl)
alt,old
bleib,stay (imperative)
wiedersehen,goodbye/to see again
frei,free
wen,whom/who (acc)
drauf,on it (informal)
möglich,possible
irgendwie,somehow
reicht,is enough/reaches
fest,firm/fixed/party
besten,best (dat pl)
waffe,weapon
kaum,hardly/scarcely
irgendwas,something (informal)
klingt,sounds
platz,place/space
brauchst,need (you singular)
rede,speech/talk
papa,dad/papa
falsch,false/wrong
sondern,but rather
alten,old (dat/acc pl)
nummer,number
früher,earlier/formerly
jungen,boys/young men
wohin,where to
außer,except for/outside of
früh,early
setzen,to set/to sit down
zuerst,first/at first
wahrscheinlich,probably
dürfen,may/to be allowed to
jede,every (fem)
arsch,ass/butt
telefon,telephone
tue,do/am doing
kennst,"know (you singular, person/place)"
willkommen,welcome
plan,plan
großen,big/large (dat/acc pl)
retten,to save/to rescue
hierher,here/to this place
wär,would be/were (short for 'wäre')
bring,bring (imperative)
fehler,error/mistake
wollt,want (you plural)
dollar,dollar
zehn,ten
allem,everything (dat)
pass,passport/pass (imperative)
nächste,next (fem/pl)
stunde,hour
hände,hands
gegeben,given
menge,quantity/lot
langsam,slow/slowly
bereits,already
wartet,waits (he/she/it)
sechs,six
lieben,to love
meines,my (gen neut)
büro,office
nächsten,next (dat/acc pl)
gebe,give/am giving
wochen,weeks
ruf,call/reputation
schaffen,to manage/to create
leider,unfortunately
scheiß,shit (adj/noun)
hölle,hell
trotzdem,nevertheless
doktor,doctor
tja,well/oh well
new,New (English word)
voll,full/fully
film,film/movie
überall,everywhere
hund,dog
geworden,become
direkt,direct/directly
wolltest,wanted to (you singular)
tat,deed/did
denkt,thinks (he/she/it)
schiff,ship
neues,new (neut)
wem,whom (dative)
könig,king
danach,after that
funktioniert,works/functions
hattest,had (you singular)
lernen,to learn
deswegen,therefore
wow,wow
nennen,to name/to call
hm,hmm
feuer,fire
laufen,to run/to walk
alleine,alone
erinnern,to remember
völlig,completely
kleines,small/little (neut)
könnt,can (you plural)
stelle,place/position
kumpel,buddy/pal
verlieren,to lose
probleme,problems
spricht,speaks
kaffee,coffee
luft,air
fand,found
i,I (English letter/pronoun)
entschuldige,excuse me/apologize
ziehen,to pull/to move
verschwinden,to disappear
könntest,could (you singular)
seht,see (you plural)
aufhören,to stop/to cease
eigenen,own (dat/acc pl)
richtige,right/correct (fem/pl)
unserem,our (dat masc/neut)
suche,search/am searching
zwar,admittedly/to be sure
groß,big/large
hol,fetch/get (imperative)
buch,book
krank,sick
fühle,feel/am feeling
jedes,every/each (neut)
verstehst,understand (you singular)
wert,worth/value
arzt,doctor
froh,glad/happy
versuche,try/am trying
straße,street
rufen,to call
heiraten,to marry
super,super
sam,Sam
lebt,lives
gutes,good (neut)
lasse,let/am letting
onkel,uncle
total,total/totally
gebracht,brought
party,party
erklären,to explain
spielt,plays
wahl,choice/election
vertrauen,trust/to trust
damals,at that time/back then
tagen,days (dative)
leicht,easy/light
nachdem,after
gegangen,gone
gefühl,feeling
kaufen,to buy
geschafft,managed/done
typen,guys/types
interessiert,interested
möchten,would like to (pl)
halte,hold/am holding
hält,holds
glaub,believe (imperative)
irgendwo,somewhere
stück,piece
genauso,exactly the same
kennt,knows (person/place)
genommen,taken
zukunft,future
weniger,less
cool,cool
licht,light
getroffen,met/hit
himmel,sky/heaven
nachricht,message/news
drüben,over there
passt,fits/is suitable
sagten,said (pl)
kümmern,to worry/to take care of
laut,loud/according to
vergiss,forget (imperative)
angerufen,called (on phone)
sitzen,to sit
daß,that (old spelling of 'dass')
erde,earth/soil
großer,big/large (masc)
schlüssel,key
rest,rest/remainder
passieren,to happen
eher,rather/sooner
gefragt,asked
gefängnis,prison
opfer,victim/sacrifice
körper,body
solche,such (pl)
mist,manure/crap
mr,Mr.
findet,finds
schreiben,to write
böse,evil/angry
gesprochen,spoken
versuch,attempt/try (imperative)
vorstellen,to imagine/to introduce
wovon,of what/whereof
sobald,as soon as
nochmal,once more/again
herren,gentlemen/lords
sex,sex
waffen,weapons
wohnung,apartment
weh,pain/ache
heißen,to be called
krankenhaus,hospital
bringe,bring/am bringing
höre,hear/am hearing
millionen,millions
klasse,class/great
hart,hard
worden,become (past participle)
sinn,sense/meaning
außerdem,besides/in addition
verletzt,injured
ändern,to change
erfahren,to experience/to learn
tragen,to carry/to wear
wenigstens,at least
vorsichtig,cautious/careful
daddy,daddy
stolz,proud/pride
stark,strong
fällt,falls/occurs
möchtest,would like (you singular)
leuten,people (dative)
besonders,especially
schöne,beautiful/nice (fem/pl)
schicken,to send
person,person
schätze,estimate/cherish
solange,as long as
länger,longer
großartig,great/magnificent
lacht,laughs
anrufen,to call (on phone)
stand,stood/state
redest,talk (you singular)
fühlen,to feel
erwartet,expected
boden,floor/ground
boss,boss
stimme,voice
glaubt,believes
still,quiet/still
sicherheit,safety/security
setz,sit down (imperative)
ma,Ma/mom
mund,mouth
kämpfen,to fight
wisst,know (you plural)
lachen,to laugh
hörst,hear (you singular)
zeug,stuff/junk
lustig,funny
umbringen,to kill/to murder
sollst,should (you singular)
hasse,hate/am hating
schlimm,bad/terrible
o,oh
unglaublich,incredible
wärst,would be/were (you singular)
laden,shop/to load
führen,to lead/to guide
gestorben,died
schauen,to look/to watch
meinung,opinion
lesen,to read
mörder,murderer
frank,Frank
äm,um/er
geschehen,happened
geschäft,business/shop
idiot,idiot
verzeihung,pardon/forgiveness
fliegen,to fly
zeig,show (imperative)
team,team
general,general
mike,Mike
aufs,on the (acc neut)
york,York
vorher,before
schluss,end/conclusion
schneller,faster
liebt,loves
verdient,earned/deserves
mögen,to like/may
meisten,most (pl)
denk,think (imperative)
umgebracht,killed/murdered
perfekt,perfect
versprochen,promised
handy,mobile phone
monate,months
erinnere,remember/am remembering
acht,eight/attention
arbeitet,works
fallen,to fall
rufe,call/am calling
nötig,necessary
a,a (English letter)
mord,murder
heraus,out/forth
tages,day's (genitive)
unmöglich,impossible
liebling,darling/favorite
charlie,Charlie
tatsächlich,actually/in fact
folgen,to follow/consequences
bitten,to ask/to beg
behalten,to keep
nähe,proximity/nearness
arbeite,work/am working
joe,Joe
verdammte,damned (fem/pl)
plötzlich,suddenly
lebens,life's (genitive)
hole,fetch/get/am fetching
tisch,table
michael,Michael
hörte,heard
jemals,ever
liegen,to lie (down/be situated)
verkaufen,to sell
gefährlich,dangerous
anfangen,to begin
bekommt,receives/gets
machte,made/did
ha,ha
hotel,hotel
hilft,helps
werdet,become/will (you plural)
meister,master
kampf,fight/struggle
antwort,answer
konnten,could (pl)
geschickt,sent/clever
jedem,every (dative)
obwohl,although
sieben,seven
komisch,funny/weird
gewinnen,to win
ihres,her/their (gen neut)
bezahlt,paid
you,you (English word)
voller,full of (masc/neut)
unterwegs,underway/on the way
dumm,stupid
ärger,anger/trouble
bild,picture/image
george,George
neu,new
bezahlen,to pay
dagegen,against it
seien,be (subjunctive pl)
starb,died
tom,Tom
monaten,months (dative)
leiche,corpse
niemanden,nobody (accusative)
auge,eye
arschloch,asshole
verheiratet,married
peter,Peter
zieh,pull/move (imperative)
nimmt,takes
gerettet,rescued/saved
agent,agent
traum,dream
entscheidung,decision
schlimmer,worse
regeln,rules
fenster,window
fangen,to catch
fort,away/gone
ständig,constantly
findest,find (you singular)
gefahr,danger
absolut,absolute/absolutely
mary,Mary
augenblick,moment/glance
bescheid,information/knowledge
rum,around (informal)
gedanken,thoughts
werd,become/will (short for 'werde')
ziel,goal/target
benutzt,used
bewegung,movement
jemandem,someone (dative)
wünschte,wished
worte,words
kamen,came (pl)
welcher,which (masc)
zahlen,to pay/numbers
anfang,beginning
legen,to lay/to put
erinnerst,remember (you singular)
anwalt,lawyer
fahr,drive/go (imperative)
sitzt,sits
hilf,help (imperative)
offen,open
schönen,beautiful/nice (dat/acc pl)
monsieur,monsieur
müsste,should/had to (subjunctive)
arme,poor/arms (pl)
bier,beer
fürs,for the (neut acc)
partner,partner
klein,small/little
david,David
klappe,flap/mouth/shut up (imperative)
süß,sweet/cute
herum,around
finger,finger
ehe,marriage
rolle,role/roll
ließ,let/left
gleiche,same (fem/pl)
monat,month
hochzeit,wedding
max,Max
führt,leads/guides
paris,Paris
wach,awake
wozu,for what purpose
arm,poor/arm
geschrieben,written
chef,boss/chief
benutzen,to use
informationen,information
erledigt,done/finished
hoffentlich,hopefully
müsst,must (you plural)
fühlt,feels
tanzen,to dance
ansehen,to look at/to watch
darfst,may/is allowed to (you singular)
zuhause,at home
wunderbar,wonderful
hältst,hold/keep (you singular)
reise,journey/trip
gewonnen,won
dame,lady
irgendwann,sometime/eventually
chffffff,chffffff (sound)
alex,Alex
steckt,sticks/is stuck
jedenfalls,in any case
schreit,screams
tolle,great/awesome (fem/pl)
rüber,over (informal)
tschüss,bye
nennt,names/calls
raum,room/space
heiß,hot
foto,photo
kalt,cold
paul,Paul
irgendetwas,something
weile,while
bisher,so far
minute,minute
unbedingt,absolutely/definitely
zug,train
sekunden,seconds
wofür,for what purpose
erzähl,tell (imperative)
nen,a/an (short for 'einen')
beweise,evidence/proof
nahm,took
aller,all (genitive pl)
freut,is happy/is pleased
seele,soul
schießen,to shoot
müde,tired
dauert,lasts/takes time
magst,like/may (you singular)
harry,Harry
brief,letter
gelernt,learned
sucht,seeks/is seeking
bekannt,known
weitere,further/more
unfall,accident
dahin,there/to that place
kontrolle,control
beispiel,example
lady,lady
dasselbe,the same thing
herzen,hearts (pl/dative sing)
schlagen,to hit/to beat
wütend,angry/furious
weise,way/wise
damen,ladies
darin,in it/therein
gottes,God's (genitive)
holt,fetches/gets
fehlt,is missing/is absent
vorsicht,caution/careful
heiße,hot/am called
beweisen,to prove
gehabt,had (past participle)
zumindest,at least
vermisst,misses/is missing
hübsch,pretty
kriegt,gets/receives
verbindung,connection
tief,deep
richtung,direction
lage,location/situation
sowieso,anyway/in any case
kraft,strength/power
normal,normal
lauf,run/course
ehre,honor
stell,place/put (imperative)
geschenk,gift
bar,bar/cash
tasche,pocket/bag
gelesen,read
gekauft,bought
wussten,knew (pl)
gestohlen,stolen
hunger,hunger
leg,lay/put (imperative)
lügen,lies/to lie
beziehung,relationship
ben,Ben
verschwunden,disappeared
steh,stand (imperative)
nächstes,next (neut)
gearbeitet,worked
preis,price/prize
witz,joke
meinte,meant/said
liste,list
geist,ghost/spirit
neben,next to
gesucht,searched/wanted
firma,company/firm
süße,sweet/cute (fem/pl)
rücken,back (body part)
schrecklich,terrible
letzter,last/final (masc)
verliebt,in love
öffnen,to open
redet,talks (he/she/it)/talk (you pl)
boot,boat
seltsam,strange/odd
versteckt,hidden
fürchte,fear/am fearing
verschwinde,disappear (imperative)
erwischt,caught
verkauft,sold
tante,aunt
erwarten,to expect
pferd,horse
wunder,miracle/wonder
sauer,sour/angry
vermutlich,presumably
näher,closer
major,major
jung,young
majestät,majesty
aussehen,to look/appearance
glatt,smooth/slick
trainiert,trained
indien,India
autor,author
geweint,cried
blume,flower
verletzungen,injuries
special,special (English word)
zwillinge,twins
mia,Mia
vergleichen,to compare
schweiz,Switzerland
bemerken,to notice
herbst,autumn/fall
meredith,Meredith
zurückholen,to retrieve
nazis,Nazis
stamm,tribe/stem
auswahl,selection/choice
braves,brave (pl/fem)
deutet,indicates/points to
griffin,Griffin
friseur,hairdresser
oberen,upper/top (dat/acc pl)
fertigmachen,to finish/to get ready
they,they (English word)
teure,expensive (fem/pl)
silas,Silas
gedroht,threatened
ana,Ana
ermordung,murder
maura,Maura
komischen,funny/weird (dat/acc pl)
bestimmtes,certain/specific (neut)
diskret,discreet
kriechen,to crawl
weißes,white (neut)
luthor,Luthor
hinüber,across/over
zauberei,sorcery/magic
wünschst,wish (you singular)
nadia,Nadia
biss,bite
komischer,funny/weird (masc)
hotelzimmer,hotel room
delta,Delta
chinesischen,Chinese (dat/acc pl)
beängstigend,frightening
hills,hills (English word)
quentin,Quentin
frequenz,frequency
vorhast,plan/intend (you singular)
tödliche,deadly (fem/pl)
summer,Summer (English word)
verband,bandage/association
gebucht,booked
investieren,to invest
website,website (English word)
diät,diet
benimm,behave (imperative)
vergangenen,past (dat/acc pl)
rodney,Rodney
verbringe,spend (time)/am spending
zukünftige,future (fem/pl)
gleichgültig,indifferent
gefangenschaft,captivity
daktari,Daktari
russ,Russian (male)
westlich,western
men,men (English word)
nixon,Nixon
samt,velvet/together with
mail,mail (English word)
laurie,Laurie
bestell,order (imperative)
klara,Klara
only,only (English word)
face,face (English word)
hinbekommen,to manage/to get done
adoption,adoption
handelte,acted/dealt
verrätst,reveal/betray (you singular)
hinterm,behind the (dat masc/neut)
rande,edge (dative)
break,break (English word)
reinziehen,to pull in/to ingest (informal)
zart,tender/delicate
ewigkeiten,ages/eternities
immunität,immunity
eingelassen,let in/got involved
gewettet,bet
ergab,resulted in/yielded
ausgesagt,testified
studiere,study/am studying
malt,paints
tonne,ton/barrel
regle,regulate/settle (am regulating)
borgen,to borrow
spezialeinheit,special unit
behandle,treat/am treating
zerreißen,to tear up
hermann,Hermann
übergebe,hand over/am handing over
alma,Alma
wanze,bug (listening device/insect)
zeugnis,certificate/report card
örtlichen,local (dat/acc pl)
phänomen,phenomenon
weitaus,by far
polizeirevier,police station
öfters,often
erreiche,reach/am reaching
produkte,products
misch,mix (imperative)
beklagen,to complain
schurke,villain/rogue
kleinere,smaller/minor (fem/pl)
sonnenbrille,sunglasses
strenge,strictness/severity
phantom,phantom
verdoppeln,to double
zuzugeben,to admit
titelseite,front page
schwiegervater,father-in-law
abscheulich,abominable
nigel,Nigel
kleinigkeiten,trifles/minor things
kompass,compass
yoga,yoga
elektrische,electric (fem/pl)
gewirkt,worked/acted
kaviar,caviar
reiben,to rub
plage,plague/nuisance
erziehen,to raise/to educate
bekäme,would get/receive
streife,patrol/stripe
erhoben,raised/collected
analysiert,analyzed
norwegen,Norway
kappe,cap
iran,Iran
schrauben,screws/to screw
ticken,tick/to tick
junggeselle,bachelor
ertränken,to drown
manning,Manning
schickes,chic/fancy (neut)
gänzlich,entirely/completely
verfehlen,to miss/to fail
lieferanten,suppliers
hopkins,Hopkins
leih,lend (imperative)
carlton,Carlton
mother,mother (English word)
unerwartete,unexpected (fem/pl)
halsband,collar
strömung,current/flow
beweismittel,evidence
petrus,Peter (Latin form)
geborgen,salvaged/safe
bien,bee
pfennig,penny/pfennig
einfall,idea/collapse
auferstehen,to resurrect
erfolgreichen,successful (dat/acc pl)
krähen,crows/to crow
abgekriegt,got/received (a hit)
wertvoller,more valuable
gefürchtet,feared
verfluchtes,cursed (neut)
witzige,funny (fem/pl)
orlando,Orlando
marschiert,marched
heftige,heavy/violent (fem/pl)
umfallen,to fall over
gebiete,areas/territories
leckeres,delicious (neut)
rumstehen,to stand around
aufregendes,exciting (neut)
gefäß,vessel/container
garden,gardens
anwesenden,attendees/those present
bedien,operate/serve (imperative)
around,around (English word)
herzstillstand,cardiac arrest
betrieben,operated/run
wahnsinniger,madman
bestellte,ordered (past)
artig,well-behaved/nice
publicity,publicity (English word)
iq,IQ
pas,pass (French/Spanish)
bevorsteht,is imminent
polieren,to polish
diebin,female thief
verzerrt,distorted/warped
reinheit,purity
anrühren,to touch/to stir
tornado,tornado
stör,disturb (imperative)
demütigung,humiliation
detektive,detectives
überspringen,to skip/to jump over
kapuze,hood
britta,Britta
kostbare,precious (fem/pl)
fund,find/discovery
repräsentiert,represents
sulu,Sulu
höhen,heights
zahlreiche,numerous (fem/pl)
gewand,garment
einspringen,to jump in/to fill in
ungeziefer,vermin/pests
buches,book's (genitive)
wdr,WDR (German broadcaster)
beat,beat (English word)
verpackt,packaged
islam,Islam
mobile,mobile (English word)
brennenden,burning (dat/acc pl)
family,family (English word)
einjagen,to instill (fear)
lime,lime (English word)
franky,Franky
kohl,cabbage/Kohl
momenten,moments (dative)
bangkok,Bangkok
erneuern,to renew
kindchen,little child
bum,bum (sound/English slang)
betonen,to emphasize
officers,officers (English word)
alldem,all of that (dative)
verstorbene,deceased (fem/pl)
corey,Corey
spezialist,specialist
füttere,feed/am feeding
bliebe,would remain
darsteller,actor/performer
proviant,provisions
chu,Chu
gesichtern,faces (dative)
versprachen,promised (pl)
ferkel,piglet
ka,Ka (abbreviation/sound)
klischee,cliché
orakel,oracle
dude,dude (English word)
ficke,fuck (vulgar)
übertroffen,surpassed
anfingen,began (pl)
verwöhnen,to spoil/to pamper
gaston,Gaston
moriarty,Moriarty
effizient,efficient
eitelkeit,vanity
unruhen,unrest/riots
selma,Selma
escobar,Escobar
klappte,worked out/clapped
marx,Marx
hazel,Hazel
ausgangssperre,curfew
bestätige,confirm/am confirming
kühler,cooler/radiator
adama,Adama
eintrifft,arrives
revoir,goodbye (French)
anheuern,to hire
versetzung,transfer/relocation
gleicher,same (masc)
zündung,ignition
eingeführt,introduced
riskierst,risk (you singular)
bestreiten,to dispute/to contest
jahrmarkt,fair/carnival
gebote,commandments/bids
aufgegessen,eaten up
abed,Abed
therese,Therese
armselig,pitiful/miserable
größerer,larger (masc)
knaller,cracker/hit
aquarium,aquarium
reservieren,to reserve
wasserfall,waterfall
ständige,constant (fem/pl)
davongekommen,got away with it
aushelfen,to help out
knaben,boys (pl/dative sing)
aufgesetzt,put on/cocky
spare,save/am saving (imperative)
halblang,slow down/take it easy
lest,read (you plural)
spielfeld,playing field
repräsentieren,to represent
strohsack,straw sack
bademantel,bathrobe
trupp,troop/squad
